wavelength (nm), refractive index
2000,4.108452025
2120,4.094811595
2240,4.083751627
2360,4.074620481
2480,4.066971594
2600,4.060486885
2720,4.054932861
2840,4.050133919
2960,4.045955334
3080,4.042291987
3200,4.039060673
3320,4.036194699
3440,4.033640014
3560,4.031352384
3680,4.029295285
3800,4.027438322
3920,4.025756015
4040,4.024226859
4160,4.0228326
4280,4.021557649
4400,4.020388628
4520,4.019313998
4640,4.018323762
4760,4.01740922
4880,4.016562775
5000,4.015777764
5120,4.015048324
5240,4.014369279
5360,4.013736044
5480,4.013144546
5600,4.012591158
5720,4.012072638
5840,4.011586084
5960,4.011128889
6080,4.010698708
6200,4.010293426
6320,4.00991113
6440,4.00955009
6560,4.009208732
6680,4.008885628
6800,4.008579476
6920,4.008289088
7040,4.008013378
7160,4.007751351
7280,4.007502097
7400,4.007264777
7520,4.007038621
7640,4.006822921
7760,4.006617021
7880,4.006420318
8000,4.006232253
8120,4.006052308
8240,4.005880004
8360,4.005714895
8480,4.005556569
8600,4.005404639
8720,4.005258749
8840,4.005118564
8960,4.004983773
9080,4.004854084
9200,4.004729225
9320,4.004608941
9440,4.004492995
9560,4.004381162
9680,4.004273232
9800,4.004169008
9920,4.004068304
10040,4.003970948
10160,4.003876773
10280,4.003785625
10400,4.003697359
10520,4.003611836
10640,4.003528927
10760,4.003448508
10880,4.003370462
11000,4.003294681
11120,4.003221058
11240,4.003149495
11360,4.003079899
11480,4.003012179
11600,4.002946251
11720,4.002882034
11840,4.002819451
11960,4.00275843
12080,4.0026989
12200,4.002640795
12320,4.002584052
12440,4.002528609
12560,4.002474409
12680,4.002421396
12800,4.002369516
12920,4.00231872
13040,4.002268957
13160,4.002220182
13280,4.002172348
13400,4.002125413
13520,4.002079334
13640,4.002034072
13760,4.001989587
13880,4.001945842
14000,4.001902801
