wavelength (nm),refractive index
192.18182,2.86129
193.77794,2.838
195.3741,2.8156
196.97031,2.79405
198.56656,2.77332
200.16287,2.75336
201.7592,2.73414
203.35559,2.71563
204.95203,2.69779
206.54849,2.6806
208.14502,2.66402
209.74158,2.64803
211.33818,2.63261
212.93481,2.61772
214.53149,2.60335
216.12822,2.58948
217.72498,2.57608
219.32178,2.56313
220.91863,2.55062
222.5155,2.53853
224.11243,2.52683
225.70938,2.51552
227.30637,2.50458
228.9034,2.49399
230.50046,2.48374
232.09757,2.47381
233.6947,2.4642
235.29187,2.45489
236.88907,2.44587
238.4863,2.43713
240.08359,2.42866
241.68088,2.42044
243.27823,2.41248
244.87561,2.40475
246.47299,2.39725
248.07044,2.38997
249.66792,2.38291
251.26541,2.37605
252.86295,2.36939
254.4605,2.36292
256.05808,2.35664
257.6557,2.35053
259.25336,2.3446
260.85101,2.33883
262.4487,2.33322
264.04645,2.32777
265.6442,2.32246
267.24197,2.3173
268.83978,2.31228
270.43759,2.3074
272.03546,2.30264
273.63333,2.29801
275.23123,2.2935
276.82916,2.28911
278.42712,2.28483
280.02509,2.28067
281.62308,2.27661
283.2211,2.27265
284.81915,2.26879
286.41718,2.26503
288.01529,2.26137
289.61337,2.25779
291.21149,2.2543
292.80963,2.2509
294.40778,2.24758
296.00595,2.24434
297.60416,2.24118
299.20236,2.2381
300.8006,2.23509
302.39883,2.23214
303.9971,2.22927
305.59537,2.22647
307.19367,2.22373
308.79196,2.22105
310.39029,2.21843
311.98862,2.21588
313.58698,2.21338
315.18533,2.21094
316.78369,2.20855
318.38208,2.20621
319.98047,2.20393
321.57889,2.2017
323.17731,2.19951
324.77573,2.19738
326.37418,2.19529
327.9726,2.19324
329.57108,2.19124
331.16953,2.18928
332.76801,2.18736
334.36649,2.18548
335.96497,2.18365
337.56348,2.18184
339.16196,2.18008
340.76047,2.17835
342.35898,2.17666
343.95749,2.175
345.55603,2.17338
347.15457,2.17179
348.75308,2.17023
350.35162,2.1687
351.95013,2.1672
353.54868,2.16573
355.14725,2.16429
356.74579,2.16288
358.3443,2.16149
359.94287,2.16014
361.54141,2.1588
363.13995,2.1575
364.7385,2.15621
366.33704,2.15496
367.93558,2.15372
369.53412,2.15251
371.13263,2.15132
372.73117,2.15015
374.32971,2.14901
375.92822,2.14788
377.52676,2.14678
379.12528,2.14569
380.72379,2.14463
382.3223,2.14358
383.92078,2.14255
385.51929,2.14154
387.11777,2.14055
388.71625,2.13958
390.31473,2.13862
391.91318,2.13768
393.51163,2.13676
395.11008,2.13585
396.70853,2.13496
398.30695,2.13408
399.90533,2.13322
401.50375,2.13237
403.10214,2.13153
404.70053,2.13071
406.29889,2.12991
407.89728,2.12911
409.49561,2.12833
411.09393,2.12757
