wavelength (nm), refractive index
1499.383911,3.485073
1502.834839,3.484759
1506.286133,3.484445
1509.737671,3.484131
1513.189697,3.48382
1516.641846,3.483518
1520.094482,3.483216
1523.547241,3.482914
1527.000488,3.482612
1530.453979,3.48231
1533.907959,3.482018
1537.362061,3.481727
1540.81665,3.481436
1544.271362,3.481146
1547.726563,3.480855
1551.182007,3.480568
1554.637939,3.480289
1558.093994,3.480009
1561.550537,3.479729
1565.007202,3.479449
1568.464478,3.47917
1571.921875,3.478897
1575.379639,3.478628
1578.837769,3.478359
1582.296265,3.47809
1585.755127,3.477821
1589.214233,3.477552
1592.673706,3.477292
1596.133545,3.477034
1599.593628,3.476776
