wavelength (nm),refractive index
200,1.55179
200.2,1.55152
200.4,1.55124
200.6,1.55097
200.8,1.5507
201,1.55042
201.2,1.55015
201.4,1.54988
201.6,1.54961
201.8,1.54934
202,1.54907
202.2,1.5488
202.4,1.54853
202.6,1.54826
202.8,1.548
203,1.54773
203.2,1.54746
203.4,1.5472
203.6,1.54693
203.8,1.54667
204,1.5464
204.2,1.54614
204.4,1.54587
204.6,1.54561
204.8,1.54535
205,1.54508
205.2,1.54482
205.4,1.54456
205.6,1.5443
205.8,1.54404
206,1.54378
206.2,1.54352
206.4,1.54326
206.6,1.543
206.8,1.54275
207,1.54251
207.2,1.54226
207.4,1.54201
207.6,1.54177
207.8,1.54152
208,1.54128
208.2,1.54103
208.4,1.54079
208.6,1.54054
208.8,1.5403
209,1.54006
209.2,1.53982
209.4,1.53957
209.6,1.53933
209.8,1.53909
210,1.53885
210.2,1.53861
210.4,1.53837
210.6,1.53813
210.8,1.53789
211,1.53765
211.2,1.53741
211.4,1.53718
211.6,1.53694
211.8,1.5367
212,1.53647
212.2,1.53623
212.4,1.53599
212.6,1.53576
212.8,1.53552
213,1.53529
213.2,1.53506
213.4,1.53482
213.6,1.53459
213.8,1.53436
214,1.53415
214.2,1.53395
214.4,1.53375
214.6,1.53356
214.8,1.53337
215,1.53318
215.2,1.533
215.4,1.53281
215.6,1.53263
215.8,1.53244
216,1.53226
216.2,1.53207
216.4,1.53189
216.6,1.5317
216.8,1.53152
217,1.53134
217.2,1.53115
217.4,1.53097
217.6,1.53079
217.8,1.5306
218,1.53042
218.2,1.53024
218.4,1.53006
218.6,1.52988
218.8,1.5297
219,1.52952
219.2,1.52934
219.4,1.52916
219.6,1.52898
219.8,1.5288
220,1.52862
220.2,1.52844
220.4,1.52826
220.6,1.52809
220.8,1.52791
221,1.52773
221.2,1.52755
221.4,1.52738
221.6,1.5272
221.8,1.52702
222,1.52685
222.2,1.52667
222.4,1.5265
222.6,1.52632
222.8,1.52615
223,1.52597
223.2,1.5258
223.4,1.52563
223.6,1.52545
223.8,1.52528
224,1.52511
224.2,1.52493
224.4,1.52476
224.6,1.52459
224.8,1.52442
225,1.52425
225.2,1.52407
225.4,1.5239
225.6,1.52373
225.8,1.52356
226,1.52339
226.2,1.52322
226.4,1.52305
226.6,1.52288
226.8,1.52272
227,1.52256
227.2,1.52241
227.4,1.52225
227.6,1.5221
227.8,1.52194
228,1.52178
228.2,1.52163
228.4,1.52148
228.6,1.52132
228.8,1.52117
229,1.52101
229.2,1.52086
229.4,1.52071
229.6,1.52055
229.8,1.5204
230,1.52025
230.2,1.5201
230.4,1.51995
230.6,1.51981
230.8,1.51966
231,1.51952
231.2,1.51938
231.4,1.51923
231.6,1.51909
231.8,1.51895
232,1.5188
232.2,1.51866
232.4,1.51852
232.6,1.51838
232.8,1.51823
233,1.51809
233.2,1.51795
233.4,1.51781
233.6,1.51767
233.8,1.51753
234,1.51739
234.2,1.51725
234.4,1.51711
234.6,1.51697
234.8,1.51683
235,1.51669
235.2,1.51655
235.4,1.51641
235.6,1.51627
235.8,1.51613
236,1.516
236.2,1.51586
236.4,1.51572
236.6,1.51558
236.8,1.51545
237,1.51531
237.2,1.51517
237.4,1.51504
237.6,1.5149
237.8,1.51476
238,1.51463
238.2,1.5145
238.4,1.51437
238.6,1.51424
238.8,1.51411
239,1.51398
239.2,1.51385
239.4,1.51373
239.6,1.5136
239.8,1.51347
240,1.51334
240.2,1.51322
240.4,1.5131
240.6,1.51297
240.8,1.51285
241,1.51273
241.2,1.51261
241.4,1.51248
241.6,1.51236
241.8,1.51224
242,1.51212
242.2,1.512
242.4,1.51188
242.6,1.51176
242.8,1.51164
243,1.51152
243.2,1.5114
243.4,1.51128
243.6,1.51116
243.8,1.51104
244,1.51092
244.2,1.5108
244.4,1.51068
244.6,1.51056
244.8,1.51044
245,1.51032
245.2,1.5102
245.4,1.51009
245.6,1.50997
245.8,1.50985
246,1.50973
246.2,1.50962
246.4,1.5095
246.6,1.50938
246.8,1.50926
247,1.50915
247.2,1.50903
247.4,1.50892
247.6,1.5088
247.8,1.50868
248,1.50857
248.2,1.50845
248.4,1.50834
248.6,1.50824
248.8,1.50813
249,1.50803
249.2,1.50792
249.4,1.50782
249.6,1.50771
249.8,1.50761
250,1.50751
250.2,1.5074
250.4,1.5073
250.6,1.5072
250.8,1.50709
251,1.50699
251.2,1.50689
251.4,1.50678
251.6,1.50668
251.8,1.50658
252,1.50647
252.2,1.50637
252.4,1.50627
252.6,1.50617
252.8,1.50607
253,1.50596
253.2,1.50586
253.4,1.50576
253.6,1.50566
253.8,1.50556
254,1.50546
254.2,1.50536
254.4,1.50526
254.6,1.50516
254.8,1.50506
255,1.50496
255.2,1.50486
255.4,1.50476
255.6,1.50466
255.8,1.50456
256,1.50446
256.2,1.50436
256.4,1.50426
256.6,1.50416
256.8,1.50406
257,1.50396
257.2,1.50387
257.4,1.50377
