wavelength (nm),refractive index
2119.87,3.45032
2124.76,3.45017
2129.66,3.45002
2134.57,3.44987
2139.49,3.44972
2144.42,3.44958
2149.36,3.44943
2154.32,3.44928
2159.28,3.44913
2164.26,3.44899
2169.25,3.44884
2174.25,3.4487
2179.26,3.44856
2184.29,3.44841
2189.32,3.44827
2194.37,3.44813
2199.43,3.44799
2204.5,3.44785
2209.58,3.44771
2214.67,3.44757
2219.78,3.44743
2224.9,3.4473
2230.03,3.44716
2235.17,3.44702
2240.32,3.44689
2245.48,3.44675
2250.66,3.44662
2255.85,3.44648
2261.05,3.44635
2266.26,3.44622
2271.49,3.44609
2276.72,3.44596
2281.97,3.44583
2287.23,3.4457
2292.5,3.44557
2297.79,3.44544
2303.08,3.44531
2308.39,3.44518
2313.72,3.44506
2319.05,3.44493
2324.39,3.4448
2329.75,3.44468
2335.12,3.44456
2340.51,3.44443
2345.9,3.44431
2351.31,3.44419
2356.73,3.44406
2362.16,3.44394
2367.61,3.44382
2373.07,3.4437
2378.54,3.44358
2384.02,3.44346
2389.52,3.44334
2395.02,3.44323
2400.55,3.44311
2406.08,3.44299
2411.63,3.44288
2417.18,3.44276
2422.76,3.44264
2428.34,3.44253
2433.94,3.44242
2439.55,3.4423
2445.17,3.44219
2450.81,3.44208
2456.46,3.44196
2462.12,3.44185
2467.8,3.44174
2473.49,3.44163
2479.19,3.44152
2484.91,3.44141
2490.63,3.4413
2496.38,3.44119
2502.13,3.44109
2507.9,3.44098
2513.68,3.44087
2519.47,3.44077
2525.28,3.44066
2531.1,3.44056
2536.94,3.44045
2542.79,3.44035
2548.65,3.44024
2554.52,3.44014
2560.41,3.44004
2566.31,3.43993
2572.23,3.43983
2578.16,3.43973
2584.1,3.43963
2590.06,3.43953
2596.03,3.43943
2602.02,3.43933
2608.01,3.43923
2614.03,3.43913
2620.05,3.43903
2626.09,3.43894
2632.15,3.43884
2638.21,3.43874
2644.29,3.43865
2650.39,3.43855
2656.5,3.43846
2662.62,3.43836
2668.76,3.43827
2674.91,3.43817
2681.08,3.43808
2687.26,3.43799
2693.46,3.43789
2699.67,3.4378
2705.89,3.43771
2712.13,3.43762
2718.38,3.43753
2724.64,3.43744
2730.93,3.43735
2737.22,3.43726
2743.53,3.43717
2749.86,3.43708
