wavelength (nm),refractive index
300.193,1.502117342
300.885,1.501913919
301.578,1.501711642
302.273,1.501510501
302.97,1.50131049
303.669,1.5011116
304.369,1.500913825
305.07,1.500717157
305.774,1.500521589
306.478,1.500327112
307.185,1.500133721
307.893,1.499941406
308.603,1.499750162
309.314,1.499559981
310.027,1.499370855
310.742,1.499182776
311.458,1.498995738
312.176,1.498809727
312.896,1.498624737
313.617,1.498440787
314.34,1.498257858
315.065,1.498075944
315.791,1.497895035
316.519,1.497715125
317.249,1.497536207
317.98,1.497358275
318.713,1.497181321
319.448,1.49700534
320.184,1.496830325
320.922,1.49665627
321.662,1.496483167
322.404,1.496311013
323.147,1.496139799
323.892,1.49596952
324.638,1.49580017
325.387,1.495631743
326.137,1.495464234
326.889,1.495297635
327.642,1.495131942
328.398,1.494967148
329.155,1.494803249
329.913,1.494640237
330.674,1.494478108
331.436,1.494316856
332.2,1.494156475
332.966,1.49399696
333.734,1.493838305
334.503,1.493680505
335.274,1.493523555
336.047,1.493367449
336.822,1.493212181
337.598,1.493057747
338.376,1.492904142
339.156,1.492751359
339.938,1.492599394
340.722,1.492448243
341.507,1.492297899
342.294,1.492148357
343.084,1.491999613
343.874,1.491851662
344.667,1.491704499
345.462,1.491558118
346.258,1.491412516
347.056,1.491267686
347.856,1.491123625
348.658,1.490980327
349.462,1.490837788
350.268,1.490696003
351.075,1.490554968
351.884,1.490414677
352.695,1.490275127
353.509,1.490136312
354.323,1.489998228
355.14,1.489860871
355.959,1.489724236
356.779,1.489588319
357.602,1.489453114
358.426,1.489318619
359.253,1.489184828
360.081,1.489051737
360.911,1.488919342
361.743,1.488787639
362.577,1.488656623
363.413,1.48852629
364.25,1.488396636
365.09,1.488267657
365.932,1.488139349
366.775,1.488011707
367.621,1.487884728
368.468,1.487758408
369.317,1.487632741
370.169,1.487507726
371.022,1.487383357
371.877,1.48725963
372.735,1.487136542
373.594,1.487014089
374.455,1.486892268
375.318,1.486771073
376.184,1.486650501
377.051,1.486530549
377.92,1.486411213
378.791,1.48629249
379.664,1.486174374
380.54,1.486056863
381.417,1.485939954
382.296,1.485823641
383.177,1.485707923
384.061,1.485592795
384.946,1.485478253
385.833,1.485364295
386.723,1.485250916
387.614,1.485138114
388.508,1.485025884
389.404,1.484914223
390.301,1.484803129
391.201,1.484692596
392.103,1.484582623
393.007,1.484473206
393.913,1.484364341
394.821,1.484256025
395.731,1.484148254
396.643,1.484041027
397.557,1.483934338
398.474,1.483828186
399.392,1.483722566
400.313,1.483617476
401.236,1.483512913
402.161,1.483408873
403.088,1.483305353
404.017,1.48320235
404.949,1.483099861
405.882,1.482997883
406.818,1.482896413
407.756,1.482795448
408.696,1.482694985
409.638,1.482595021
410.582,1.482495553
411.528,1.482396577
412.477,1.482298092
413.428,1.482200094
414.381,1.48210258
415.336,1.482005548
416.294,1.481908994
417.253,1.481812915
418.215,1.48171731
419.179,1.481622174
420.146,1.481527506
421.114,1.481433302
422.085,1.48133956
423.058,1.481246277
424.033,1.48115345
425.011,1.481061077
425.99,1.480969155
426.972,1.480877681
427.957,1.480786652
428.943,1.480696067
429.932,1.480605922
430.923,1.480516214
431.917,1.480426942
432.912,1.480338102
433.91,1.480249692
434.91,1.480161709
435.913,1.480074152
436.918,1.479987017
437.925,1.479900302
438.935,1.479814004
439.946,1.479728121
440.961,1.479642651
441.977,1.479557591
442.996,1.479472939
444.017,1.479388691
445.041,1.479304847
446.067,1.479221403
447.095,1.479138358
448.126,1.479055708
449.159,1.478973452
450.194,1.478891587
451.232,1.47881011
452.272,1.478729021
453.315,1.478648315
454.36,1.478567992
455.407,1.478488048
456.457,1.478408482
457.509,1.478329291
458.564,1.478250473
459.621,1.478172026
460.681,1.478093948
461.743,1.478016237
462.807,1.47793889
463.874,1.477861905
464.943,1.47778528
466.015,1.477709013
467.089,1.477633102
468.166,1.477557544
469.245,1.477482339
470.327,1.477407483
471.411,1.477332975
472.498,1.477258812
473.587,1.477184992
474.679,1.477111514
475.773,1.477038376
476.87,1.476965575
477.969,1.476893109
479.071,1.476820977
480.175,1.476749176
481.282,1.476677705
482.392,1.476606562
483.504,1.476535744
484.618,1.47646525
485.736,1.476395077
486.855,1.476325225
487.978,1.476255691
489.102,1.476186473
490.23,1.476117569
491.36,1.476048977
492.493,1.475980696
493.628,1.475912724
494.766,1.475845059
495.907,1.475777699
497.05,1.475710643
498.196,1.475643888
499.344,1.475577432
500.495,1.475511275
501.649,1.475445413
502.805,1.475379846
503.964,1.475314572
505.126,1.475249589
506.291,1.475184895
507.458,1.475120488
508.628,1.475056368
509.8,1.474992531
510.975,1.474928977
512.153,1.474865703
513.334,1.474802709
514.517,1.474739992
515.703,1.47467755
516.892,1.474615383
518.084,1.474553488
519.278,1.474491865
520.475,1.47443051
521.675,1.474369423
522.877,1.474308602
524.083,1.474248045
525.291,1.474187751
526.502,1.474127718
527.716,1.474067946
528.932,1.474008431
530.151,1.473949173
531.373,1.473890169
532.598,1.47383142
533.826,1.473772922
535.057,1.473714675
536.29,1.473656677
537.526,1.473598926
538.766,1.473541421
540.008,1.473484161
541.252,1.473427144
542.5,1.473370368
543.751,1.473313832
545.004,1.473257535
546.261,1.473201475
547.52,1.473145651
548.782,1.473090061
550.047,1.473034704
551.315,1.472979578
552.586,1.472924683
553.86,1.472870016
555.137,1.472815576
556.416,1.472761363
557.699,1.472707373
558.985,1.472653607
560.273,1.472600063
561.565,1.472546739
562.859,1.472493634
564.157,1.472440746
565.457,1.472388075
566.761,1.472335619
568.067,1.472283377
569.377,1.472231347
570.689,1.472179527
572.005,1.472127918
573.324,1.472076517
574.645,1.472025324
575.97,1.471974336
577.298,1.471923552
578.629,1.471872972
579.962,1.471822594
581.299,1.471772417
582.639,1.471722439
583.983,1.471672659
585.329,1.471623077
586.678,1.47157369
588.031,1.471524498
589.386,1.471475499
590.745,1.471426692
592.107,1.471378076
593.471,1.471329649
594.84,1.471281411
596.211,1.471233361
597.585,1.471185496
598.963,1.471137816
600.344,1.47109032
601.728,1.471043006
603.115,1.470995874
604.505,1.470948922
605.898,1.470902149
607.295,1.470855554
608.695,1.470809135
610.098,1.470762892
611.505,1.470716823
612.914,1.470670928
614.327,1.470625205
615.744,1.470579653
617.163,1.470534271
618.586,1.470489057
620.012,1.470444012
621.441,1.470399133
